peak_name,display_name,position,gamma,sigma,norm,d_ratio,d_shift,FWHM,area
A,A,99.99460225658449,1.7916660827071946,3.1490514274852517,19.74482708099431,,,9.516313328055718,19.11191004907159
B,B,150.00425402964322,2.0661801447779804,2.958329754765397,50.09590952264309,0.6598172811125735,9.967290385141052,9.436092829221966,82.03126005142168
C,C,200.02368380996126,2.0272618433928566,2.9762893250595392,49.93290541784736,0.6634646374649794,19.94028884918357,9.42575459026886,82.04961604797646
D,D,249.97387534613708,1.9232821976623649,3.0776088863570115,29.918269999832614,,,9.521422069005064,29.442395651624093
