peak_name,display_name,position,gamma,sigma,norm,d_ratio,d_shift,FWHM,area
A,A,99.98570683833042,1.1670364503759887,3.454765954405775,18.150535111257742,,,9.455350944382364,17.98803253341517
B,B,149.98322435105553,1.4623011111623452,3.267357646603395,47.05027830327508,0.6648824651058239,10.005427710848585,9.376998912407545,77.79516000497168
C,C,200.0144921746562,1.6365724411329454,3.1867284119471804,47.55910115109573,0.6598090439740987,19.969358297411606,9.407050934635723,78.38634739097657
D,D,250.00375020398337,1.455154062011133,3.2898632935713845,28.049000019903307,,,9.42040068745409,27.85383736869394
